OE,Produkt,Teilprodukt,"Aufwand/
Ertrag",ILV,Kostenartengruppe,2014,2015,2016,2017,Abweichung 2016-2015,Abweichung 2017-2016
(010) Referat Strategische Steuerung und Rat,,,,,,-4896975.38,-5544374.44,-5560713.32,-5777045.08,-16338.88,-216331.76
,1.100.1.1.1.01  Außenkontakte,,,,,-1241126.14,-1114154.66,-1176551.67,-1254032.64,-62397.01,-77480.97
,,1.100.1.1.1.01.01  Außenkontakte,,,,-856764.8,-762857.7,-826938.67,-893713.4,-64080.97,-66774.73
,,,Aufwand,,,-878932.66,-807857.7,-870060.64,-913449.56,-62202.94,-43388.92
,,,,nein,,-878932.66,-807857.7,-870060.64,-913449.56,-62202.94,-43388.92
,,,,,13   Aufwendungen für aktives Personal,-489050.42,-473196.69,-514763,-545567.28,-41566.31,-30804.28
,,,,,14   Aufwendungen für Versorgung,-27017.5,-19563.25,-42018.84,-50740.2,-22455.59,-8721.36
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-91494.09,-73400,-71000,-71000,2400, -      
,,,,,16   Abschreibungen,-340.6,-338.04,-341,-332,-2.96,9
,,,,,18   Transferaufwendungen,-10100,-10000,-2000,-2000,8000, -      
,,,,,19   sonstige ordentliche Aufwendungen,-231128.38,-231359.72,-239937.8,-243810.08,-8578.08,-3872.28
,,,,,24   außerordentliche Aufwendungen,-29801.67, -      , -      , -      , -      , -      
,,,Ertrag,,,22167.86,45000,43121.97,19736.16,-1878.03,-23385.81
,,,,nein,,22167.86,45000,43121.97,19736.16,-1878.03,-23385.81
,,,,,  2   Zuwendungen und allgemeine Umlagen,7500, -      , -      , -      , -      , -      
,,,,,  6   privatrechtliche Entgelte,3950.11,45000,15000,15000,-30000, -      
,,,,,11   sonstige ordentliche Erträge,10717.75, -      ,28121.97,4736.16,28121.97,-23385.81
,,1.100.1.1.1.01.02  Städtepartnerschaften,,,,-384361.34,-351296.96,-349613,-360319.24,1683.96,-10706.24
,,,Aufwand,,,-431270.65,-416296.96,-422836.52,-422336.32,-6539.56,500.2
,,,,nein,,-431270.65,-416296.96,-422836.52,-422336.32,-6539.56,500.2
