OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist.
(61) FB  Städtebau;1.100.5.1.1.05 Bebauungsplanung;1.100.5.1.1.05.02 Sonderprojekte räuml.Entwickl.planung;15   Aufwendungen für Sach-/Dienstleistungen;-100000;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.6.1.03 CO2 Reduzierung;1.100.5.6.1.03.01 CO2 Reduzierung;18   Transferaufwendungen;-75000;Aufwand;nein
(61) FB  Städtebau;1.100.5.1.1.04 Verkehrsplanung;1.100.5.1.1.04.01 Verkehrsplanung;15   Aufwendungen für Sach-/Dienstleistungen;-60000;Aufwand;nein
(61) FB  Städtebau;1.100.5.1.1.04 Verkehrsplanung;1.100.5.1.1.04.02 Radverkehr;15   Aufwendungen für Sach-/Dienstleistungen;-50000;Aufwand;nein
(61) FB  Städtebau;1.100.5.1.1.05 Bebauungsplanung;1.100.5.1.1.05.01 Bebauungsplanung;15   Aufwendungen für Sach-/Dienstleistungen;-70000;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.5.4.01 Naturschutz und Landschaftspflege;1.100.5.5.4.01.01 Naturschutz und Landschaftspflege;15   Aufwendungen für Sach-/Dienstleistungen;-15000;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.6.1.03 CO2 Reduzierung;1.100.5.6.1.03.01 CO2 Reduzierung;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.06 Personalentwicklung;1.100.1.1.1.06.03 Führungskräfte- Qualität;15   Aufwendungen für Sach-/Dienstleistungen;-85000;Aufwand;nein
(41) FB  Kultur;1.100.2.5.2.06 E.-M.Remarque-Friedenszentrum/Möser Doku;1.100.2.5.2.06.01 E.-M.Remarque-Friedenszentrum/Möser Doku;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(61) FB  Städtebau;1.100.5.1.1.04 Verkehrsplanung;1.100.5.1.1.04.02 Radverkehr;15   Aufwendungen für Sach-/Dienstleistungen;-50000;Aufwand;nein
(41) FB  Kultur;1.100.2.7.3.02 Kulturförderung und Veranstaltungen;1.100.2.7.3.02.02 Kulturförderung und Veranstaltungen;15   Aufwendungen für Sach-/Dienstleistungen;-4400;Aufwand;nein
(61) FB  Städtebau;1.100.5.2.2.01 Wohnbauförderung;1.100.5.2.2.01.01 Wohnbauförderung Stadt;18   Transferaufwendungen;-300000;Aufwand;nein
(41) FB  Kultur;1.100.2.5.2.07 Osnabrücker Museumsquartier (FNH/KGM);1.100.2.5.2.07.02 Friedenslabor;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(50) FB  Integration, Soziales und Bürgerengagement;1.100.1.1.1.44 Integrationsmanagement;1.100.1.1.1.44.02 Koordinierungstelle Flüchtlingsarbeit;18   Transferaufwendungen;-332600;Aufwand;nein
